Index,Company Name,Symbol,Industry,ANGELONECODE
1,Adani Enterprises Ltd.,ADANIENT,Metals & Mining,4244.0
2,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,21281.0
3,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,636.0
4,Asian Paints Ltd.,ASIANPAINT,Consumer Durables,34.0
5,Axis Bank Ltd.,AXISBANK,Financial Services,5554.0
6,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,28074.0
7,Bajaj Finance Ltd.,BAJFINANCE,Financial Services,3722.0
8,Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,28075.0
9,Bharat Electronics Ltd.,BEL,Capital Goods,2298.0
10,Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels,2290.0
11,Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,15542.0
12,Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,
13,Cipla Ltd.,CIPLA,Healthcare
14,Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels
15,Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare
16,Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components
17,Grasim Industries Ltd.,GRASIM,Construction Materials
18,HCL Technologies Ltd.,HCLTECH,Information Technology
19,HDFC Bank Ltd.,HDFCBANK,Financial Services
20,HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services
21,Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components
22,Hindalco Industries Ltd.,HINDALCO,Metals & Mining
23,Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods
24,ICICI Bank Ltd.,ICICIBANK,Financial Services
25,ITC Hotels Ltd.,ITCHOTELS,Consumer Services
26,ITC Ltd.,ITC,Fast Moving Consumer Goods
27,IndusInd Bank Ltd.,INDUSINDBK,Financial Services
28,Infosys Ltd.,INFY,Information Technology
29,JSW Steel Ltd.,JSWSTEEL,Metals & Mining
30,Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services
31,Larsen & Toubro Ltd.,LT,Construction
32,Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components
33,Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components
34,NTPC Ltd.,NTPC,Power
35,Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods
36,Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels
37,Power Grid Corporation of India Ltd.,POWERGRID,Power
38,Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels
39,SBI Life Insurance Company Ltd.,SBILIFE,Financial Services
40,Shriram Finance Ltd.,SHRIRAMFIN,Financial Services
41,State Bank of India,SBIN,Financial Services
42,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare
43,Tata Consultancy Services Ltd.,TCS,Information Technology
44,Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods
45,Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components
46,Tata Steel Ltd.,TATASTEEL,Metals & Mining
47,Tech Mahindra Ltd.,TECHM,Information Technology
48,Titan Company Ltd.,TITAN,Consumer Durables
49,Trent Ltd.,TRENT,Consumer Services
50,UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials
51,Wipro Ltd.,WIPRO,Information Technology
