Index,Company Name,Symbol,Industry
1,ABB India Ltd.,ABB,Capital Goods
2,Adani Energy Solutions Ltd.,ADANIENSOL,Power
3,Adani Green Energy Ltd.,ADANIGREEN,Power
4,Adani Power Ltd.,ADANIPOWER,Power
5,Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels
6,Ambuja Cements Ltd.,AMBUJACEM,Construction Materials
7,Avenue Supermarts Ltd.,DMART,Consumer Services
8,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services
9,Bank of Baroda,BANKBARODA,Financial Services
10,Bharat Heavy Electricals Ltd.,BHEL,Capital Goods
11,Bosch Ltd.,BOSCHLTD,Automobile and Auto Components
12,Canara Bank,CANBK,Financial Services
13,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services
14,DLF Ltd.,DLF,Realty
15,Dabur India Ltd.,DABUR,Fast Moving Consumer Goods
16,Divi's Laboratories Ltd.,DIVISLAB,Healthcare
17,GAIL (India) Ltd.,GAIL,Oil Gas & Consumable Fuels
18,Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods
19,Havells India Ltd.,HAVELLS,Consumer Durables
20,Hindustan Aeronautics Ltd.,HAL,Capital Goods
21,ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services
22,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services
23,Indian Oil Corporation Ltd.,IOC,Oil Gas & Consumable Fuels
24,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Services
25,Indian Railway Finance Corporation Ltd.,IRFC,Financial Services
26,Info Edge (India) Ltd.,NAUKRI,Consumer Services
27,InterGlobe Aviation Ltd.,INDIGO,Services
28,JSW Energy Ltd.,JSWENERGY,Power
29,Jindal Steel & Power Ltd.,JINDALSTEL,Metals & Mining
30,Jio Financial Services Ltd.,JIOFIN,Financial Services
31,LTIMindtree Ltd.,LTIM,Information Technology
32,Life Insurance Corporation of India,LICI,Financial Services
33,Macrotech Developers Ltd.,LODHA,Realty
34,NHPC Ltd.,NHPC,Power
35,Pidilite Industries Ltd.,PIDILITIND,Chemicals
36,Power Finance Corporation Ltd.,PFC,Financial Services
37,Punjab National Bank,PNB,Financial Services
38,REC Ltd.,RECLTD,Financial Services
39,Samvardhana Motherson International Ltd.,MOTHERSON,Automobile and Auto Components
40,Shree Cement Ltd.,SHREECEM,Construction Materials
41,Siemens Ltd.,SIEMENS,Capital Goods
42,TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components
43,Tata Power Co. Ltd.,TATAPOWER,Power
44,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare
45,Union Bank of India,UNIONBANK,Financial Services
46,United Spirits Ltd.,UNITDSPR,Fast Moving Consumer Goods
47,Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods
48,Vedanta Ltd.,VEDL,Metals & Mining
49,Zomato Ltd.,ZOMATO,Consumer Services
50,Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare
